mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
random,15,32768,4,1000000,524288
random,15,32768,4,8000000,4194304
random,15,32768,5,8192,4096
random,15,32768,5,1000000,524288
random,15,32768,5,8000000,4194304
random,15,32768,6,8192,4096
random,15,32768,6,1000000,524288
random,15,32768,6,8000000,4194304
random,15,32768,7,8192,4096
random,15,32768,7,1000000,524288
random,15,32768,7,8000000,4194304
random,15,32768,8,8192,4096
random,15,32768,8,1000000,524288
random,15,32768,8,8000000,4194304
random,15,32768,9,8192,4096
random,15,32768,9,1000000,524288
random,15,32768,9,8000000,4194304
random,15,32768,10,8192,4096
random,15,32768,10,1000000,524288
random,15,32768,10,8000000,4194304
random,15,32768,11,8192,4096
random,15,32768,11,1000000,524288
random,15,32768,11,8000000,4194304
random,15,32768,12,8192,4096
random,15,32768,12,1000000,524288
random,15,32768,12,8000000,4194304
random,15,32768,13,8192,4096
random,15,32768,13,1000000,524288
random,15,32768,13,8000000,4194304
random,15,32768,14,8192,4096
random,15,32768,14,1000000,524288
random,15,32768,14,8000000,4194304
random,15,32768,15,8192,4096
random,15,32768,15,1000000,524288
random,15,32768,15,8000000,4194304
random,15,32768,16,8192,4096
random,15,32768,16,1000000,524288
random,15,32768,16,8000000,4194304
random,15,32768,17,8192,4096
random,15,32768,17,1000000,524288
random,15,32768,17,8000000,4194304
random,15,32768,18,8192,4096
random,15,32768,18,1000000,524288
random,15,32768,18,8000000,4194304
random,15,32768,19,8192,4096
random,15,32768,19,1000000,524288
random,15,32768,19,8000000,4194304
random,15,32768,20,8192,4096
random,15,32768,20,1000000,524288
random,15,32768,20,8000000,4194304
random,16,65536,1,8192,8192
random,16,65536,1,1000000,1048576
random,16,65536,1,8000000,8388608
random,16,65536,2,8192,8192
random,16,65536,2,1000000,1048576
random,16,65536,2,8000000,8388608
random,16,65536,3,8192,8192
random,16,65536,3,1000000,1048576
random,16,65536,3,8000000,8388608
random,16,65536,4,8192,8192
random,16,65536,4,1000000,1048576
random,16,65536,4,8000000,8388608
random,16,65536,5,8192,8192
random,16,65536,5,1000000,1048576
random,16,65536,5,8000000,8388608
random,16,65536,6,8192,8192
random,16,65536,6,1000000,1048576
random,16,65536,6,8000000,8388608
